| 8  | 0 and 1977735 | 4045.031311 |
| 16  | 0 and 1259956 | 12698.856151 |
| 32  | 0 and 1545905 | 20699.848956 |
| 64  | 0 and 1224550 | 52264.097015 |
| 128  | 0 and 7127366 | 17958.948649 |
| 256  | 0 and 1529981 | 167322.339297 |
| 512  | 0 and 1486119 | 344521.535624 |
| 1024  | 0 and 1179846 | 867909.879764 |
| 2048  | 0 and 1879592 | 1089598.168113 |
| 4096  | 0 and 1209703 | 3385955.065004 |
| 8192  | 0 and 1318095 | 6215030.024391 |
| 16384  | 0 and 2085923 | 7854556.472123 |
| 32768  | 0 and 4950385 | 6619283.146664 |
| 65536  | 0 and 6381055 | 10270401.994654 |
| 131072  | 0 and 15758159 | 8317722.901514 |
| 262144  | 0 and 33672227 | 7785169.659257 |
| 524288  | 0 and 49364836 | 10620677.439301 |
| 1048576  | 0 and 92400460 | 11348168.613013 |
| 2097152  | 0 and 266426869 | 7871398.286034 |
| 4194304  | 0 and 322783272 | 12994180.194072 |
| 8388608  | 0 and 655423631 | 12798757.327686 |
| 16777216  | 1 and 540592468 | 10890106.467793 |
| 33554432  | 2 and 831491077 | 11850445.962045 |
| 67108864  | 5 and 669825257 | 11836143.259820 |
| 134217728  | 11 and 965708572 | 11216864.190899 |
| 268435456  | 25 and 929755895 | 10352409.682799 |
| 536870912  | 55 and 72153223 | 9748500.477657 |
| 1073741824  | 112 and 750903872 | 9523132.738864 |
